employee_uuid,employee_id,name,department,role,office_location,work_start_time,work_end_time,allowed_devices,preferred_browser,preferred_os,vpn_probability,access_level,behavior_profile
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,EMP-0001,Amy Meadows,Marketing,Marketing Coordinator,New York,10:00,19:00,DEV-0001;DEV-0002;DEV-0003,Chrome,Windows,0.2,Low,"{""working_hours"": [10, 19], ""login_hour_distribution"": {""0"": 0.04, ""1"": 0.04, ""2"": 0.02, ""3"": 0.03, ""4"": 0.03, ""5"": 0.02, ""6"": 0.04, ""7"": 0.03, ""8"": 0.02, ""9"": 0.33, ""10"": 0.93, ""11"": 0.84, ""12"": 0.86, ""13"": 0.98, ""14"": 0.92, ""15"": 0.88, ""16"": 0.89, ""17"": 0.82, ""18"": 0.84, ""19"": 0.28, ""20"": 0.03, ""21"": 0.02, ""22"": 0.02, ""23"": 0.01}, ""resource_probabilities"": {""Payroll"": 0.0, ""FinanceDB"": 0.0, ""Email"": 0.86, ""GitHub"": 0.0, ""Jira"": 0.16, ""Slack"": 0.93, ""FileServer"": 0.04, ""HRPortal"": 0.0, ""CRM"": 0.72, ""AdminConsole"": 0.0, ""Servers"": 0.0, ""VPN"": 0.16, ""Confluence"": 0.27, ""Terminal"": 0.0, ""HRMS"": 0.0, ""EmployeeRecords"": 0.0, ""ERP"": 0.0, ""Accounting"": 0.0, ""Invoices"": 0.0, ""Meetings"": 0.15, ""Analytics"": 0.73, ""CampaignDashboard"": 0.93, ""Monitoring"": 0.0, ""Firewall"": 0.0}, ""browser_probabilities"": {""Chrome"": 0.6, ""Firefox"": 0.15, ""Edge"": 0.25, ""Safari"": 0.0}, ""device_probabilities"": {""Desktop"": 0.6666666666666665, ""Laptop"": 0.33333333333333354}, ""average_session_length"": 72.8, ""session_length_stddev"": 8, ""average_actions"": 20, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
ceb81f9d-7914-4120-88dc-d19f3e351128,EMP-0002,Theresa Drake,Engineering,Engineering Manager,San Francisco,08:00,17:00,DEV-0004;DEV-0005,Chrome,Linux,0.45,High,"{""working_hours"": [8, 17], ""login_hour_distribution"": {""0"": 0.03, ""1"": 0.03, ""2"": 0.04, ""3"": 0.04, ""4"": 0.05, ""5"": 0.01, ""6"": 0.03, ""7"": 0.28, ""8"": 0.96, ""9"": 0.84, ""10"": 0.83, ""11"": 0.88, ""12"": 0.88, ""13"": 0.85, ""14"": 0.84, ""15"": 0.97, ""16"": 0.88, ""17"": 0.42, ""18"": 0.03, ""19"": 0.01, ""20"": 0.05, ""21"": 0.04, ""22"": 0.05, ""23"": 0.05}, ""resource_probabilities"": {""Payroll"": 0.0, ""FinanceDB"": 0.0, ""Email"": 0.31, ""GitHub"": 0.74, ""Jira"": 0.82, ""Slack"": 0.75, ""FileServer"": 0.2, ""HRPortal"": 0.0, ""CRM"": 0.0, ""AdminConsole"": 0.0, ""Servers"": 0.0, ""VPN"": 0.11, ""Confluence"": 0.79, ""Terminal"": 0.95, ""HRMS"": 0.0, ""EmployeeRecords"": 0.0, ""ERP"": 0.0, ""Accounting"": 0.0, ""Invoices"": 0.0, ""Meetings"": 0.17, ""Analytics"": 0.0, ""CampaignDashboard"": 0.0, ""Monitoring"": 0.0, ""Firewall"": 0.0}, ""browser_probabilities"": {""Chrome"": 0.5, ""Firefox"": 0.5, ""Edge"": 0.0, ""Safari"": 0.0}, ""device_probabilities"": {""Laptop"": 1.0}, ""average_session_length"": 96.2, ""session_length_stddev"": 8, ""average_actions"": 19, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
f512c4c3-b253-4218-ac4a-37ea490617f2,EMP-0003,Terry Lopez,Engineering,Architect,Tokyo,08:00,17:00,DEV-0006;DEV-0007,Chrome,Linux,0.45,High,"{""working_hours"": [8, 17], ""login_hour_distribution"": {""0"": 0.01, ""1"": 0.04, ""2"": 0.01, ""3"": 0.02, ""4"": 0.01, ""5"": 0.03, ""6"": 0.05, ""7"": 0.33, ""8"": 0.81, ""9"": 0.89, ""10"": 0.95, ""11"": 0.81, ""12"": 0.81, ""13"": 0.96, ""14"": 0.87, ""15"": 0.97, ""16"": 0.9, ""17"": 0.34, ""18"": 0.01, ""19"": 0.01, ""20"": 0.04, ""21"": 0.03, ""22"": 0.02, ""23"": 0.02}, ""resource_probabilities"": {""Payroll"": 0.0, ""FinanceDB"": 0.0, ""Email"": 0.27, ""GitHub"": 0.78, ""Jira"": 0.77, ""Slack"": 0.73, ""FileServer"": 0.26, ""HRPortal"": 0.0, ""CRM"": 0.0, ""AdminConsole"": 0.0, ""Servers"": 0.0, ""VPN"": 0.21, ""Confluence"": 0.93, ""Terminal"": 0.93, ""HRMS"": 0.0, ""EmployeeRecords"": 0.0, ""ERP"": 0.0, ""Accounting"": 0.0, ""Invoices"": 0.0, ""Meetings"": 0.1, ""Analytics"": 0.0, ""CampaignDashboard"": 0.0, ""Monitoring"": 0.0, ""Firewall"": 0.0}, ""browser_probabilities"": {""Chrome"": 0.5, ""Firefox"": 0.5, ""Edge"": 0.0, ""Safari"": 0.0}, ""device_probabilities"": {""Laptop"": 1.0}, ""average_session_length"": 78.3, ""session_length_stddev"": 8, ""average_actions"": 23, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
89a2688b-12c1-46e0-9998-5f15ff002d4d,EMP-0004,Ryan Dunn,Finance,Finance Analyst,Munich,09:00,18:00,DEV-0008,Chrome,Windows,0.15,Medium,"{""working_hours"": [9, 18], ""login_hour_distribution"": {""0"": 0.01, ""1"": 0.02, ""2"": 0.02, ""3"": 0.03, ""4"": 0.03, ""5"": 0.02, ""6"": 0.05, ""7"": 0.04, ""8"": 0.33, ""9"": 0.92, ""10"": 0.9, ""11"": 0.97, ""12"": 0.82, ""13"": 0.96, ""14"": 0.85, ""15"": 0.96, ""16"": 0.93, ""17"": 0.83, ""18"": 0.27, ""19"": 0.02, ""20"": 0.02, ""21"": 0.04, ""22"": 0.04, ""23"": 0.03}, ""resource_probabilities"": {""Payroll"": 0.16, ""FinanceDB"": 0.33, ""Email"": 0.71, ""GitHub"": 0.0, ""Jira"": 0.26, ""Slack"": 0.31, ""FileServer"": 0.11, ""HRPortal"": 0.0, ""CRM"": 0.0, ""AdminConsole"": 0.0, ""Servers"": 0.0, ""VPN"": 0.18, ""Confluence"": 0.13, ""Terminal"": 0.0, ""HRMS"": 0.0, ""EmployeeRecords"": 0.0, ""ERP"": 0.94, ""Accounting"": 0.74, ""Invoices"": 0.81, ""Meetings"": 0.04, ""Analytics"": 0.24, ""CampaignDashboard"": 0.0, ""Monitoring"": 0.0, ""Firewall"": 0.0}, ""browser_probabilities"": {""Chrome"": 0.6, ""Firefox"": 0.15, ""Edge"": 0.25, ""Safari"": 0.0}, ""device_probabilities"": {""Desktop"": 1.0}, ""average_session_length"": 22.3, ""session_length_stddev"": 8, ""average_actions"": 27, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
093923de-8bab-4e3b-a628-6bfbe767dcea,EMP-0005,Christopher Cole,Engineering,DevOps Engineer,Munich,10:00,19:00,DEV-0009;DEV-0010,Chrome,Linux,0.45,Medium,"{""working_hours"": [10, 19], ""login_hour_distribution"": {""0"": 0.02, ""1"": 0.05, ""2"": 0.04, ""3"": 0.04, ""4"": 0.05, ""5"": 0.02, ""6"": 0.02, ""7"": 0.01, ""8"": 0.04, ""9"": 0.42, ""10"": 0.87, ""11"": 0.91, ""12"": 0.83, ""13"": 0.97, ""14"": 0.96, ""15"": 0.98, ""16"": 0.95, ""17"": 0.96, ""18"": 0.8, ""19"": 0.38, ""20"": 0.02, ""21"": 0.05, ""22"": 0.04, ""23"": 0.04}, ""resource_probabilities"": {""Payroll"": 0.0, ""FinanceDB"": 0.0, ""Email"": 0.3, ""GitHub"": 0.77, ""Jira"": 0.9, ""Slack"": 0.73, ""FileServer"": 0.32, ""HRPortal"": 0.0, ""CRM"": 0.0, ""AdminConsole"": 0.0, ""Servers"": 0.0, ""VPN"": 0.31, ""Confluence"": 0.76, ""Terminal"": 0.9, ""HRMS"": 0.0, ""EmployeeRecords"": 0.0, ""ERP"": 0.0, ""Accounting"": 0.0, ""Invoices"": 0.0, ""Meetings"": 0.22, ""Analytics"": 0.0, ""CampaignDashboard"": 0.0, ""Monitoring"": 0.0, ""Firewall"": 0.0}, ""browser_probabilities"": {""Chrome"": 0.5, ""Firefox"": 0.5, ""Edge"": 0.0, ""Safari"": 0.0}, ""device_probabilities"": {""Laptop"": 1.0}, ""average_session_length"": 43.6, ""session_length_stddev"": 8, ""average_actions"": 30, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
060edf5b-3911-4497-ba43-b2badf0f06cb,EMP-0006,Thomas Williams,IT,Helpdesk Support,Tokyo,08:00,18:00,DEV-0011,Chrome,Linux,0.6,Low,"{""working_hours"": [8, 18], ""login_hour_distribution"": {""0"": 0.04, ""1"": 0.02, ""2"": 0.03, ""3"": 0.04, ""4"": 0.04, ""5"": 0.02, ""6"": 0.01, ""7"": 0.42, ""8"": 0.85, ""9"": 0.9, ""10"": 0.98, ""11"": 0.81, ""12"": 0.91, ""13"": 0.86, ""14"": 0.94, ""15"": 0.88, ""16"": 0.98, ""17"": 0.82, ""18"": 0.42, ""19"": 0.02, ""20"": 0.01, ""21"": 0.03, ""22"": 0.03, ""23"": 0.04}, ""resource_probabilities"": {""Payroll"": 0.27, ""FinanceDB"": 0.34, ""Email"": 0.28, ""GitHub"": 0.15, ""Jira"": 0.21, ""Slack"": 0.34, ""FileServer"": 0.93, ""HRPortal"": 0.26, ""CRM"": 0.27, ""AdminConsole"": 0.73, ""Servers"": 0.93, ""VPN"": 0.83, ""Confluence"": 0.27, ""Terminal"": 0.18, ""HRMS"": 0.27, ""EmployeeRecords"": 0.24, ""ERP"": 0.15, ""Accounting"": 0.27, ""Invoices"": 0.19, ""Meetings"": 0.29, ""Analytics"": 0.14, ""CampaignDashboard"": 0.24, ""Monitoring"": 0.8, ""Firewall"": 0.91}, ""browser_probabilities"": {""Chrome"": 0.5, ""Firefox"": 0.5, ""Edge"": 0.0, ""Safari"": 0.0}, ""device_probabilities"": {""Laptop"": 1.0}, ""average_session_length"": 43.4, ""session_length_stddev"": 8, ""average_actions"": 11, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
9b4e2c24-9479-41e6-8927-7d9b6e0d2648,EMP-0007,Amy Miller,HR,HR Specialist,Tokyo,09:00,18:00,DEV-0012;DEV-0013,Chrome,Windows,0.05,Medium,"{""working_hours"": [9, 18], ""login_hour_distribution"": {""0"": 0.03, ""1"": 0.05, ""2"": 0.04, ""3"": 0.02, ""4"": 0.01, ""5"": 0.03, ""6"": 0.04, ""7"": 0.02, ""8"": 0.4, ""9"": 0.94, ""10"": 0.92, ""11"": 0.84, ""12"": 0.84, ""13"": 0.8, ""14"": 0.84, ""15"": 0.89, ""16"": 0.95, ""17"": 0.81, ""18"": 0.3, ""19"": 0.04, ""20"": 0.02, ""21"": 0.04, ""22"": 0.03, ""23"": 0.02}, ""resource_probabilities"": {""Payroll"": 0.86, ""FinanceDB"": 0.0, ""Email"": 0.7, ""GitHub"": 0.0, ""Jira"": 0.04, ""Slack"": 0.29, ""FileServer"": 0.13, ""HRPortal"": 0.21, ""CRM"": 0.0, ""AdminConsole"": 0.0, ""Servers"": 0.0, ""VPN"": 0.14, ""Confluence"": 0.34, ""Terminal"": 0.0, ""HRMS"": 0.83, ""EmployeeRecords"": 0.71, ""ERP"": 0.0, ""Accounting"": 0.0, ""Invoices"": 0.0, ""Meetings"": 0.16, ""Analytics"": 0.0, ""CampaignDashboard"": 0.0, ""Monitoring"": 0.0, ""Firewall"": 0.0}, ""browser_probabilities"": {""Chrome"": 0.6, ""Firefox"": 0.15, ""Edge"": 0.25, ""Safari"": 0.0}, ""device_probabilities"": {""Laptop"": 1.0}, ""average_session_length"": 103.3, ""session_length_stddev"": 8, ""average_actions"": 19, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
aae65fc1-76f2-4bfe-8d29-a36f222282e1,EMP-0008,Lindsay Coleman,IT,IT Director,Munich,09:00,19:00,DEV-0014;DEV-0015,Firefox,Linux,0.6,Critical,"{""working_hours"": [9, 19], ""login_hour_distribution"": {""0"": 0.03, ""1"": 0.04, ""2"": 0.05, ""3"": 0.03, ""4"": 0.05, ""5"": 0.03, ""6"": 0.02, ""7"": 0.04, ""8"": 0.31, ""9"": 0.94, ""10"": 0.95, ""11"": 0.85, ""12"": 0.94, ""13"": 0.89, ""14"": 0.84, ""15"": 0.88, ""16"": 0.93, ""17"": 0.84, ""18"": 0.86, ""19"": 0.42, ""20"": 0.01, ""21"": 0.02, ""22"": 0.03, ""23"": 0.02}, ""resource_probabilities"": {""Payroll"": 0.15, ""FinanceDB"": 0.2, ""Email"": 0.18, ""GitHub"": 0.22, ""Jira"": 0.12, ""Slack"": 0.31, ""FileServer"": 0.8, ""HRPortal"": 0.29, ""CRM"": 0.34, ""AdminConsole"": 0.7, ""Servers"": 0.92, ""VPN"": 0.84, ""Confluence"": 0.22, ""Terminal"": 0.34, ""HRMS"": 0.17, ""EmployeeRecords"": 0.2, ""ERP"": 0.32, ""Accounting"": 0.31, ""Invoices"": 0.23, ""Meetings"": 0.28, ""Analytics"": 0.3, ""CampaignDashboard"": 0.32, ""Monitoring"": 0.82, ""Firewall"": 0.77}, ""browser_probabilities"": {""Chrome"": 0.5, ""Firefox"": 0.5, ""Edge"": 0.0, ""Safari"": 0.0}, ""device_probabilities"": {""Laptop"": 1.0}, ""average_session_length"": 63.4, ""session_length_stddev"": 8, ""average_actions"": 17, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
cc530e36-addc-4e13-ab3b-4d37560c95ee,EMP-0009,Jeff Rowe,Sales,Sales Director,San Francisco,08:00,17:00,DEV-0016;DEV-0017;DEV-0018,Firefox,macOS,0.7,Critical,"{""working_hours"": [8, 17], ""login_hour_distribution"": {""0"": 0.03, ""1"": 0.05, ""2"": 0.03, ""3"": 0.04, ""4"": 0.01, ""5"": 0.03, ""6"": 0.04, ""7"": 0.25, ""8"": 0.85, ""9"": 0.86, ""10"": 0.88, ""11"": 0.86, ""12"": 0.96, ""13"": 0.85, ""14"": 0.97, ""15"": 0.88, ""16"": 0.95, ""17"": 0.32, ""18"": 0.04, ""19"": 0.01, ""20"": 0.05, ""21"": 0.02, ""22"": 0.01, ""23"": 0.05}, ""resource_probabilities"": {""Payroll"": 0.0, ""FinanceDB"": 0.0, ""Email"": 0.71, ""GitHub"": 0.0, ""Jira"": 0.11, ""Slack"": 0.76, ""FileServer"": 0.0, ""HRPortal"": 0.0, ""CRM"": 0.91, ""AdminConsole"": 0.0, ""Servers"": 0.0, ""VPN"": 0.26, ""Confluence"": 0.16, ""Terminal"": 0.0, ""HRMS"": 0.0, ""EmployeeRecords"": 0.0, ""ERP"": 0.0, ""Accounting"": 0.0, ""Invoices"": 0.0, ""Meetings"": 0.82, ""Analytics"": 0.13, ""CampaignDashboard"": 0.0, ""Monitoring"": 0.0, ""Firewall"": 0.0}, ""browser_probabilities"": {""Chrome"": 0.5, ""Firefox"": 0.1, ""Edge"": 0.0, ""Safari"": 0.4}, ""device_probabilities"": {""Desktop"": 0.2, ""Mobile"": 0.1, ""Laptop"": 0.7000000000000001}, ""average_session_length"": 114.3, ""session_length_stddev"": 8, ""average_actions"": 19, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
5e6fea07-c453-4f1d-8199-2fdfb31022f0,EMP-0010,Megan Miranda,Engineering,QA Engineer,Munich,10:00,19:00,DEV-0019,Edge,Windows,0.45,Low,"{""working_hours"": [10, 19], ""login_hour_distribution"": {""0"": 0.04, ""1"": 0.02, ""2"": 0.02, ""3"": 0.03, ""4"": 0.05, ""5"": 0.03, ""6"": 0.05, ""7"": 0.03, ""8"": 0.05, ""9"": 0.25, ""10"": 0.91, ""11"": 0.95, ""12"": 0.84, ""13"": 0.93, ""14"": 0.85, ""15"": 0.92, ""16"": 0.94, ""17"": 0.94, ""18"": 0.9, ""19"": 0.21, ""20"": 0.03, ""21"": 0.04, ""22"": 0.01, ""23"": 0.04}, ""resource_probabilities"": {""Payroll"": 0.0, ""FinanceDB"": 0.0, ""Email"": 0.1, ""GitHub"": 0.81, ""Jira"": 0.82, ""Slack"": 0.81, ""FileServer"": 0.19, ""HRPortal"": 0.0, ""CRM"": 0.0, ""AdminConsole"": 0.0, ""Servers"": 0.0, ""VPN"": 0.32, ""Confluence"": 0.81, ""Terminal"": 0.74, ""HRMS"": 0.0, ""EmployeeRecords"": 0.0, ""ERP"": 0.0, ""Accounting"": 0.0, ""Invoices"": 0.0, ""Meetings"": 0.14, ""Analytics"": 0.0, ""CampaignDashboard"": 0.0, ""Monitoring"": 0.0, ""Firewall"": 0.0}, ""browser_probabilities"": {""Chrome"": 0.6, ""Firefox"": 0.15, ""Edge"": 0.25, ""Safari"": 0.0}, ""device_probabilities"": {""Laptop"": 1.0}, ""average_session_length"": 67.4, ""session_length_stddev"": 8, ""average_actions"": 25, ""actions_stddev"": 3, ""average_sessions_per_day"": 3, ""remote_work_probability"": 0.25}"
